kepler_name,koi_period,koi_teq,koi_prad,koi_smass,koi_disposition,koi_score,koi_steff,koi_srad,koi_impact
Kepler-695 b,3.04033046,1021.0,8.99,0.7540,CONFIRMED,1.0000,5035.00,0.7910,0.736
Kepler-27 b,15.33528675,610.0,5,0.9260,CONFIRMED,1.0000,5251.00,0.8170,0.773
Kepler-107 d,7.95825328,1074.0,1.06,1.1130,CONFIRMED,0.9980,5847.00,1.4020,0.706
Kepler-27 c,31.33046135,481.0,6.5,0.9260,CONFIRMED,1.0000,5251.00,0.8170,0.798
,3.9043425,1104.0,12.28,0.9890,FALSE POSITIVE,0.0060,5810.00,0.8980,0.709
,9.286358079,796.0,17.61,0.8200,FALSE POSITIVE,0.0000,5670.00,0.8210,0.377
,3.951405455,1133.0,31.44,0.9530,FALSE POSITIVE,0.0000,6046.00,0.8690,1.276
Kepler-238 e,23.65369415,731.0,7.89,1.0830,CONFIRMED,0.9990,5739.00,1.3840,0.008
Kepler-238 d,13.23352214,888.0,3.06,1.0830,CONFIRMED,0.9960,5739.00,1.3840,0.014
Kepler-238 c,6.15560285,1146.0,2.32,1.0830,CONFIRMED,0.9970,5739.00,1.3840,0.235
Kepler-238 b,2.090811305,1642.0,1.62,1.0830,CONFIRMED,1.0000,5739.00,1.3840,0.746
Kepler-107 b,3.180027898,1458.0,1.53,1.1130,CONFIRMED,0.9950,5847.00,1.4020,0.196
Kepler-238 f,50.4467417,568.0,2.67,1.0830,CONFIRMED,0.9890,5739.00,1.3840,0.379
Kepler-239 b,11.76307164,616.0,2.35,0.8490,CONFIRMED,1.0000,4959.00,0.7560,0.048
Kepler-239 c,56.2279271,366.0,2.37,0.8490,CONFIRMED,0.8780,4959.00,0.7560,0.7
,2.384052875,1010.0,17.06,0.6830,FALSE POSITIVE,0.0000,4794.00,0.7010,1.178
Kepler-240 c,7.953547,696.0,2.25,0.7590,CONFIRMED,1.0000,4768.00,0.7790,0.3
Kepler-240 b,4.14451656,864.0,1.48,0.7590,CONFIRMED,1.0000,4768.00,0.7790,0.004
,4.859386384,1114.0,38.33,1.0500,FALSE POSITIVE,0.0000,6072.00,0.9880,1.259
Kepler-702 b,10.526294577,713.0,8.24,0.8200,CONFIRMED,0.9990,5386.00,0.7930,0.644
Kepler-703 b,4.583520948,1038.0,5.39,0.9730,CONFIRMED,1.0000,5815.00,0.8770,0.045
Kepler-704 b,3.76181843,1121.0,2.66,0.9740,CONFIRMED,0.8760,5653.00,0.9490,0.926
Kepler-242 b,8.20396958,742.0,3.01,0.7850,CONFIRMED,1.0000,5015.00,0.8260,0.823
Kepler-242 c,14.49645186,613.0,3.01,0.7850,CONFIRMED,1.0000,5015.00,0.8260,0.97
Kepler-27 d,6.54626149,810.0,2.19,0.9260,CONFIRMED,1.0000,5251.00,0.8170,0.644
Kepler-241 b,12.71809866,562.0,2.31,0.6700,CONFIRMED,1.0000,4702.00,0.6860,0.427
Kepler-241 c,36.06588163,397.0,2.64,0.6700,CONFIRMED,0.9990,4702.00,0.6860,0.26
Kepler-696 b,4.190425659,1234.0,6.21,1.1630,CONFIRMED,1.0000,6073.00,1.1350,0.458
Kepler-697 b,3.709870784,1151.0,4.35,1.0130,CONFIRMED,1.0000,5727.00,0.9780,0.023
Kepler-698 b,16.3297527,727.0,3.75,0.9890,CONFIRMED,1.0000,5878.00,0.9870,0.791
Kepler-699 b,27.807566216,554.0,13.84,0.8650,CONFIRMED,0.9850,5862.00,0.7850,0.782
Kepler-700 b,80.8723469,452.0,7.59,0.9320,CONFIRMED,0.9420,5510.00,1.2380,0.527
,3.166465862,954.0,26.82,0.6800,FALSE POSITIVE,0.0000,4968.00,0.7040,1.266
Kepler-467 b,24.99324319,712.0,2.29,0.9610,CONFIRMED,0.9120,5718.00,1.3170,0.686
Kepler-701 b,10.35533116,777.0,2.47,0.8910,CONFIRMED,1.0000,5501.00,0.9180,0.029
Kepler-709 b,16.08518937,613.0,3.68,0.8300,CONFIRMED,1.0000,5239.00,0.8260,0.867
,235.9986399,188.0,10.59,0.6660,CANDIDATE,0.9980,4245.00,0.6570,0.778
